name,gender,date_birth,country,occupation
Jessica Miller,female,1956-12-24,United States,screenwriter
Ronald Mcgee,male,1987-07-10,United States,actor
Amy Abbott,female,1968-04-08,United States,director
Matthew Brown,male,1988-01-01,United States,visual effects artist
Kristine Mitchell,female,1966-12-03,United States,actor
Gregory Bradley,male,1977-12-20,United States,costume designer
Jessica Vargas,female,1985-11-19,United States,director
Mark Ramirez,male,1987-09-27,United States,actor
Maria Campbell,female,1974-05-13,United States,sound engineer
Joshua Brown,male,1969-03-08,United States,screenwriter
Brandy Campbell,female,1983-05-05,United States,sound engineer
Gregory Watson,male,1959-11-18,United States,visual effects artist
Erica Lowe,female,1966-10-01,United States,filmmaker
Manuel Vega,male,1985-10-28,United States,screenwriter
Melinda Lee,female,1962-11-07,United States,sound engineer
Charles Evans,male,1970-03-25,United States,director
Elizabeth Hall,female,1959-03-28,United States,make-up effects artist
Jimmy Mcclain,male,1993-09-29,United States,filmmaker
Donna Ramirez,female,1978-04-25,United States,screenwriter
Casey Brown,male,1995-09-11,United States,costume designer
Michelle Garza,female,1961-06-30,United States,costume designer
David Ware,male,1957-02-27,United States,filmmaker
Nicole Martin,female,1964-06-26,United States,sound engineer
Joshua Watts,male,1963-05-25,United States,actor
Kathleen Wolfe,female,1983-05-19,United States,filmmaker
Joseph Burns,male,1962-07-02,United States,visual effects artist
Chelsea Brooks,female,1956-01-24,United States,actor
Bradley Pierce,male,1963-03-02,United States,director
Stephanie Fleming,female,1962-10-08,United States,actor
Anthony Hoffman,male,1959-04-05,United States,screenwriter
Tamara Wright,female,1979-10-18,United States,screenwriter
Robert Henson,male,1980-03-16,United States,make-up effects artist
Joy King,female,1987-03-01,United States,actor
Joel Mcdonald,male,1992-09-15,United States,production designer
Lindsay Glover MD,female,1986-03-24,United States,visual effects artist
Todd Mcneil,male,1976-11-24,United States,production designer
Samantha Kim,female,1967-09-18,United States,make-up effects artist
David Manning,male,1980-08-07,United States,production designer
Ashley Armstrong,female,1989-03-18,United States,sound engineer
Richard White,male,1969-02-16,United States,production designer
Denise Parks,female,1986-01-08,United States,visual effects artist
Eric Smith,male,1986-05-06,United States,filmmaker
Anna Moore,female,1973-12-23,United States,sound engineer
Ryan Garcia,male,1984-10-26,United States,make-up effects artist
Rachel Parrish,female,1990-08-02,United States,director
Gregory Washington,male,1978-07-02,United States,visual effects artist
Joan Galvan,female,1973-05-25,United States,make-up effects artist
Peter Kirk,male,1981-08-16,United States,screenwriter
Cheryl Houston,female,1991-03-15,United States,actor
Stephen Dunn,male,1958-12-29,United States,actor
Joann Swanson,female,1972-02-05,United States,make-up effects artist
Peter Miranda,male,1994-09-30,United States,production designer
Dawn Nelson,female,1986-09-14,United States,director
Gregory Fernandez,male,1965-12-04,United States,costume designer
Lindsay Reed,female,1957-08-14,United States,actor
Bryan Jones DDS,male,1982-04-12,United States,costume designer
Summer Gross,female,1981-09-20,United States,costume designer
Timothy Rivers,male,1976-06-20,United States,visual effects artist
Stephanie Rodriguez,female,1988-04-09,United States,director
John Wood,male,1982-03-09,United States,filmmaker
Denise Mccormick,female,1993-07-30,United States,filmmaker
Joshua Buchanan,male,1980-09-04,United States,make-up effects artist
Sarah Sanchez,female,1981-09-22,United States,costume designer
Mark Ellis,male,1976-09-02,United States,actor
Lisa Young,female,1961-12-23,United States,visual effects artist
Michael Huffman,male,1962-03-20,United States,actor
Sarah Foley,female,1993-04-16,United States,screenwriter
Nicholas Sosa,male,1963-07-25,United States,costume designer
Kimberly Massey,female,1972-11-13,United States,make-up effects artist
Andrew Waller,male,1965-08-17,United States,costume designer
Megan Davis,female,1961-05-15,United States,actor
William Martinez,male,1994-03-16,United States,actor
Jill Taylor,female,1983-06-09,United States,make-up effects artist
Wesley Quinn,male,1976-07-12,United States,visual effects artist
Allison Gross,female,1994-01-23,United States,screenwriter
Jared Wilson,male,1973-01-06,United States,actor
Mary Rodriguez,female,1960-07-28,United States,director
Gregory Vasquez,male,1980-12-22,United States,screenwriter
Tammy Figueroa,female,1979-11-14,United States,actor
Larry Bond,male,1993-05-26,United States,filmmaker
Lisa Boyd,female,1979-08-18,United States,actor
Matthew Brown Jr.,male,1987-05-29,United States,costume designer
Dr. Erika Berger,female,1983-07-26,United States,costume designer
Joshua French,male,1986-09-20,United States,costume designer
Allison Faulkner,female,1971-10-21,United States,costume designer
Joseph Little,male,1991-01-21,United States,visual effects artist
Natasha Burns,female,1977-05-19,United States,visual effects artist
George Miller,male,1982-08-23,United States,filmmaker
Amanda Anderson,female,1971-01-25,United States,costume designer
Jeremy Ball,male,1956-03-30,United States,visual effects artist
Michelle Douglas,female,1990-05-26,United States,make-up effects artist
Christopher Rogers,male,1993-11-06,United States,costume designer
Jasmin Christian,female,1964-10-25,United States,sound engineer
Seth Garrett,male,1966-03-01,United States,actor
Diana Williams,female,1971-04-15,United States,costume designer
John Edwards,male,1978-04-19,United States,screenwriter
Kristin Waters,female,1961-10-19,United States,screenwriter
Michael Zuniga,male,1990-12-19,United States,visual effects artist
Carly Ashley,female,1977-12-15,United States,costume designer
Jesus Parker,male,1966-06-10,United States,director
Connie Mcdowell,female,1965-01-19,United States,visual effects artist
Theodore Roberts,male,1969-07-19,United States,costume designer
Angela Mason,female,1973-06-04,United States,visual effects artist
Patrick Williams,male,1959-12-29,United States,filmmaker
Laura Moss,female,1983-03-24,United States,director
Brendan Lucero,male,1965-01-15,United States,production designer
Brenda Rose,female,1957-07-04,United States,production designer
Jordan George,male,1980-06-14,United States,production designer
Amanda Choi,female,1979-08-07,United States,production designer
Craig Russell,male,1978-03-31,United States,filmmaker
Lauren Gonzalez,female,1991-03-15,United States,actor
Brandon Jackson,male,1978-12-30,United States,screenwriter
April Gonzalez,female,1991-10-30,United States,make-up effects artist
Andrew Boyd,male,1972-05-11,United States,sound engineer
Jessica Aguilar,female,1971-02-22,United States,visual effects artist
Mark Mills,male,1985-12-22,United States,filmmaker
Rachel Savage,female,1986-12-12,United States,sound engineer
John Hansen,male,1969-04-02,United States,actor
Mary Smith,female,1984-08-31,United States,production designer
Nathaniel King,male,1989-03-29,United States,costume designer
Amanda Lopez,female,1974-08-14,United States,production designer
Paul Valenzuela,male,1959-02-18,United States,make-up effects artist
Melanie Weber,female,1958-12-02,United States,actor
Kenneth Hendrix,male,1969-07-13,United States,filmmaker
Susan Wade,female,1993-10-07,United States,costume designer
Paul Delgado,male,1959-08-31,United States,make-up effects artist
Kelly Bass,female,1985-04-23,United States,screenwriter
Brandon Young,male,1978-03-15,United States,costume designer
Jessica Bryant,female,1985-02-02,United States,production designer
Peter Weber,male,1962-04-28,United States,screenwriter
Lindsey Ramos,female,1982-01-05,United States,costume designer
